Twitter Handle,Incumbent?,Age,Followers Count,Climate Bool,Total Tweet Count
kaylyme,Yes,,11829.0,False,436
bethformi101st,No,52.0,90.0,True,620
votedanoneil,No,61.0,4165.0,False,205
doctorricher,No,48.0,337.0,True,100
maryforrep,No,31.0,150.0,True,156
janetmetsa,No,62.0,62.0,False,31
jewelljonesmi,Yes,25.0,3307.0,False,349
slattweets,No,,351.0,True,211
lpohutsky19,Yes,32.0,12804.0,False,1053
mattformichigan,Yes,36.0,2158.0,True,639
voteranjeev,No,28.0,574.0,True,1139
darrincamilleri,Yes,28.0,4400.0,True,894
nateforstaterep,Yes,37.0,308.0,False,19
reginaforrep,No,,135.0,True,87
repbrendacarter,Yes,66.0,637.0,False,151
boucher4mi,No,25.0,93.0,False,40
kyrahbolden,Yes,,3176.0,False,1111
ssteckloff,No,,694.0,True,481
votepulver,No,37.0,12153.0,True,3362
marimanoogian,Yes,28.0,17785.0,True,3539
votebreadonmi43,No,,659.0,True,218
voteforrest44,No,,337.0,True,457
barbanness2020,No,,641.0,True,1269
jodylamacchia,No,,1111.0,True,1331
vote4morse,No,,909.0,True,504
jimhaadsma,Yes,62.0,936.0,True,144
hofmankingston,No,35.0,24.0,False,29
wheelerforhd66,No,21.0,1149.0,True,730
karahope7,Yes,46.0,758.0,False,385
sarahanthony517,Yes,30.0,3632.0,True,260
juliebrixie,Yes,54.0,1950.0,True,2066
angelamihouse,Yes,,1333.0,True,642
lilyformichigan,No,,111.0,True,73
billinthehouse,No,43.0,837.0,False,84
davidlagrand,Yes,54.0,909.0,False,105
bob_77th,No,,46.0,False,136
electdan2020,No,,,True,373
c79th,No,21.0,1567.0,False,288
almquistforhd80,No,,,True,421
brianhosticka,No,50.0,72.0,False,94
amosoneal1,No,,21.0,False,100
sarah4mi,No,43.0,804.0,True,587
teamtommync,No,,69.0,False,139
philstover4,No,,62.0,False,50
brian_farkas,No,33.0,1154.0,True,483
autryjohn,Yes,,3965.0,True,3372
repbeckycarney,Yes,,1100.0,True,457
huntfornchouse,Yes,55.0,1285.0,True,382
loftonfornc,Yes,41.0,1317.0,False,34
wesleyharrisnc,Yes,33.0,2629.0,True,425
cunninghamncrep,Yes,58.0,1602.0,False,137
ncforjen,No,,189.0,True,1024
brianturnernc,Yes,46.0,3198.0,True,623
remillard117,No,25.0,427.0,True,308
joesamqueennc,Yes,70.0,1799.0,False,249
allisondahle,Yes,57.0,1367.0,False,158
marcywofford,No,,220.0,False,69
debbutlerhd18,Yes,,21585.0,True,816
electmmorgan,No,,895.0,False,179
electadam_hd20,No,23.0,385.0,True,271
vernettaalston,Yes,38.0,1392.0,False,246
marciahmorey,Yes,,1808.0,False,129
griermartin,Yes,51.0,6244.0,True,1540
terenceeveritt,Yes,45.0,1387.0,True,967
friendsforbatch,Yes,41.0,3159.0,True,386
joejohnnc40,Yes,,1152.0,False,115
kimberlyhardync,No,45.0,682.0,True,437
graigmeyer,Yes,46.0,8905.0,True,916
cainfornc,No,45.0,553.0,True,828
simonforhouse,No,64.0,179.0,False,99
clemmons4nc,Yes,,2058.0,True,1108
quickfornc,No,49.0,2164.0,True,863
rickyhurtadonc,No,27.0,1884.0,True,499
ericfornchouse,No,64.0,226.0,True,214
brewerfornc,Yes,,338.0,True,172
gailyoungnc,No,,2174.0,True,268
marybelknc,Yes,36.0,969.0,True,185
rayrussellfornc,Yes,,1397.0,False,180
christyclarknc,Yes,49.0,3412.0,True,2383
samgrady4house,No,,1106.0,True,3668
laurel4staterep,No,28.0,381.0,False,134
robinsonforoh,Yes,39.0,1465.0,True,668
kentksmith,Yes,54.0,2612.0,True,1163
boyd4oh_d9,Yes,49.0,3847.0,True,1771
stephaniehowse,Yes,41.0,4815.0,True,542
smithfor16,No,,791.0,True,480
marylightbody,Yes,68.0,1766.0,False,183
liston4ohio,Yes,46.0,2418.0,False,270
repdavidleland,Yes,67.0,3263.0,True,752
russo4ohio,Yes,,3360.0,True,932
iamdontavius,No,,697.0,False,83
bitter4betteroh,No,40.0,1225.0,True,699
brigidekelly,Yes,37.0,3425.0,True,1343
emiliasykesoh,Yes,,10760.0,True,1832
repgalonski,Yes,55.0,23049.0,True,3674
campbell4ohio,No,,30.0,False,19
leronda_jackson,No,40.0,300.0,True,132
bergerforohio,No,41.0,487.0,False,206
