Twitter Handle,Incumbent?,Age,Followers Count
pfaff4senate,No,52.0,720.0
javerhart2020,No,,377.0
phyllisdhhall,No,,2074.0
drdia,No,40.0,4599.0
voteneighbors,No,72.0,556.0
sewell4congress,Yes,55.0,3098.0
tomohalleran,Yes,74.0,10158.0
ann_kirkpatrick,Yes,70.0,10930.0
standwithraul,Yes,72.0,3748.0
delina4az,No,,11033.0
joangreeneaz,No,,18442.0
hiral4congress,No,50.0,27832.0
rubengallego,Yes,40.0,84980.0
michael_muscato,No,,33732.0
gregstantonaz,Yes,50.0,67065.0
audrey4congress,No,35.0,
jaredhuffman,Yes,56.0,11854.0
johngaramendi,Yes,75.0,3850.0
mike_ca05,Yes,69.0,620.0
matsui4congress,Yes,76.0,1369.0
beraforcongress,Yes,55.0,3904.0
jerrymcnerney,Yes,69.0,1833.0
joshharder,Yes,34.0,14121.0
markdesaulnier,Yes,68.0,2534.0
teampelosi,Yes,80.0,645390.0
shahidforchange,No,46.0,126178.0
bleeforcongress,Yes,74.0,51719.0
jackiespeier,Yes,70.0,8671.0
ericswalwell,Yes,39.0,262404.0
rokhanna,Yes,44.0,239444.0
rishikumar1,No,53.0,1427.0
zoelofgren,Yes,72.0,1456.0
jimmypanetta,Yes,51.0,1663.0
tjcoxcongress,Yes,57.0,7593.0
philarballo2020,No,,257058.0
kimmangone,No,62.0,266020.0
carbajalsalud,Yes,55.0,2287.0
christyforca25,No,,57207.0
juliabrownley,Yes,68.0,3731.0
judychucampaign,Yes,67.0,776.0
aguilarcampaign,Yes,41.0,1191.0
davidkim2020,No,36.0,
jimmygomezca,Yes,45.0,15975.0
dr_raulruiz,Yes,48.0,2918.0
karenbasstweets,Yes,67.0,21860.0
michaeltolar6,No,,629.0
gilcisnerosca,Yes,49.0,16558.0
marktakano,Yes,59.0,2775.0
katieporteroc,Yes,46.0,373692.0
alanlowenthal,Yes,79.0,989.0
harleyrouda,Yes,58.0,78114.0
mikelevin,Yes,42.0,112449.0
acampanajjar,No,32.0,46509.0
scottpetersca52,Yes,62.0,2187.0
sdgeorgette,No,43.0,6905.0
sarajacobsca,No,31.0,11708.0
degette5280,Yes,63.0,2314.0
joeneguse,Yes,36.0,28625.0
freelandco5,No,,11628.0
jasoncrowco6,Yes,41.0,35007.0
ed4colorado,Yes,67.0,3806.0
joecourtneyct,Yes,67.0,1465.0
rosa_delauro,Yes,77.0,5230.0
jahimes,Yes,54.0,110790.0
jahanahayesct,Yes,47.0,41940.0
lisabrochester,Yes,58.0,6052.0
philehr,No,60.0,223087.0
ac4congress2020,No,29.0,34689.0
donnadeegan,No,58.0,13937.0
smurphycongress,Yes,42.0,6928.0
jk4florida,No,39.0,17026.0
darrensoto,Yes,42.0,5911.0
val_demings,Yes,63.0,13394.0
kw4congress,No,51.0,717.0
charliecrist,Yes,64.0,33107.0
kathycastorfl,Yes,54.0,2496.0
alanmcohn,No,57.0,11785.0
goodforflorida,No,30.0,13886.0
allenlellison,No,39.0,13699.0
pamkeithfl,No,50.0,110660.0
swflmom2020,No,42.0,16281.0
loisfrankel,Yes,72.0,2957.0
dwstweets,Yes,54.0,357829.0
debbieforfl,Yes,49.0,21737.0
donnashalala,Yes,79.0,22959.0
congressjoyce,No,69.0,
valforcongress3,No,69.0,357.0
lucymcbath,Yes,60.0,119033.0
carolyn4ga7,No,50.0,74350.0
devinpandy,No,46.0,14287.0
tjg4ga,No,48.0,546.0
thedanabarrett,No,54.0,7489.0
electdavidscott,Yes,75.0,1432.0
kevinvanausdal,No,25.0,6403.0
abby4iowa,Yes,31.0,28422.0
axne4congress,Yes,55.0,14656.0
rudy4congress,No,32.0,
robinlynnekelly,Yes,64.0,6574.0
marie4congress,No,56.0,42638.0
quigleycampaign,Yes,62.0,1271.0
votecasten,Yes,48.0,3895.0
dannykdavis7th,Yes,79.0,190.0
rajaforcongress,Yes,47.0,2991.0
schneider4il10,Yes,59.0,18881.0
foster4congress,Yes,65.0,2229.0
laurenunderwood,Yes,34.0,128719.0
daniforcongress,No,,2773.0
cheribustos,Yes,59.0,13129.0
chip4congress,No,,1098.0
joe4hoosiers,No,,689.0
haleindy,No,,9086.0
jeannineleelake,No,51.0,4147.0
andre4congress,Yes,46.0,2891.0
andyruffin9,No,,489.0
kaliforkansas,No,35.0,1140.0
michelle4kansas,No,44.0,4148.0
sharicedavids,Yes,40.0,135257.0
lauraforkansas,No,36.0,1210.0
rhodes4congress,No,,
hank4ky,No,,532.0
amowensby,No,42.0,12178.0
bestforky,No,,610.0
joshhicksky,No,44.0,7134.0
jakeauch,No,32.0,3254.0
sethmoulton,Yes,42.0,148620.0
williamkeating,Yes,68.0,3942.0
mia4md,No,24.0,33103.0
johnsarbanes,Yes,58.0,4144.0
anthonybrownmd4,Yes,58.0,8156.0
mfume4congress,Yes,72.0,3392.0
jamie_raskin,Yes,57.0,16363.0
pubtheologian,No,44.0,4799.0
hillaryscholten,No,30.0,11821.0
hilliardforcong,No,,495.0
jonhoadley,No,37.0,10827.0
elissaslotkin,Yes,44.0,48360.0
andy_levin,Yes,60.0,7598.0
electbizon2020,No,51.0,2952.0
haleylive,Yes,37.0,27732.0
debdingell,Yes,66.0,17175.0
rashidatlaib,Yes,44.0,1247007.0
angiecraigmn,Yes,48.0,20102.0
coribush,No,44.0,392928.0
jillschupp,No,,10547.0
lynzforcongress,No,32.0,31625.0
montsenyt,No,52.0,762.0
ellis4congress,No,64.0,4662.0
antonia4ms1,No,39.0,1499.0
williamsformt,No,59.0,7685.0
dwb4congress,No,46.0,2141.0
kathymanningnc,No,64.0,7076.0
timmonsgoodson,No,66.0,7104.0
parker4nc10,No,66.0,59.0
almaforcongress,Yes,74.0,4600.0
huffmanfornc,No,,46792.0
katejbolz,No,41.0,6486.0
karaforcongress,No,48.0,24375.0
markelworthjr,No,44.0,330.0
chrispappasnh,Yes,40.0,13748.0
amykennedy715,No,,13147.0
stephlschmid,No,40.0,2623.0
joshgottheimer,Yes,45.0,6524.0
malinowski,Yes,55.0,39510.0
albiosiresnj,Yes,69.0,537.0
mikiesherrill,Yes,48.0,42419.0
bonnie4congress,Yes,75.0,3633.0
xochforcongress,Yes,35.0,13159.0
teresafornm,No,60.0,4536.0
dinatitus,Yes,70.0,11099.0
packermannv,No,38.0,1233.0
susieleenv,Yes,53.0,7774.0
kathleenrice,Yes,55.0,6432.0
gregmeeksnyc,Yes,67.0,1153.0
grace4ny,Yes,45.0,22936.0
voteyvette,Yes,55.0,1729.0
carolynbmaloney,Yes,74.0,32590.0
aoc,Yes,31.0,10599110.0
ritchietorres,No,,59702.0
dana_balter,No,43.0,12475.0
higgins4wny,Yes,61.0,1042.0
kateforcongress,No,43.0,7146.0
joycebeatty,Yes,70.0,6244.0
shannonfreshour,No,,208716.0
nickrubando,No,32.0,2507.0
robertsohiod6,No,,2998.0
quentinforoh7,No,,
drvenoch,No,50.0,3866.0
marcy_kaptur,Yes,74.0,2672.0
timsdesiree,No,32.0,31729.0
mlfudge,Yes,68.0,7928.0
votealaina2020,No,41.0,19043.0
timryan,Yes,47.0,47882.0
hillarymueri,No,43.0,25607.0
newbyoh15,No,30.0,2724.0
danyell_lanier,No,,3113.0
electbrannon,No,68.0,978.0
spenser2020,No,,292.0
repblumenauer,Yes,72.0,71520.0
defazio4oregon,Yes,73.0,3313.0
voteschrader,Yes,69.0,502.0
dwightevanspa,Yes,66.0,3917.0
madeleinedean,Yes,61.0,14622.0
marygayscanlon,Yes,61.0,9367.0
joecunninghamsc,Yes,38.0,43671.0
adair4congress,No,40.0,
clevelandhosea,No,59.0,1535.0
kimforsc,No,36.0,7799.0
moebrownsc,No,32.0,5687.0
blairwalsingham,No,32.0,5540.0
rvhoyos,No,55.0,10104.0
meg4congress,No,,13871.0
coopforcongress,Yes,66.0,1933.0
kiran4congress,No,39.0,1194.0
pearsoncongress,No,,229.0
reelectcohen,Yes,71.0,1098.0
hank4texas,No,61.0,23511.0
simafortx,No,,65689.0
lulufortexas,No,34.0,26261.0
russellfostertx,No,45.0,13471.0
salterfortexas,No,61.0,2360.0
stephendaniel,No,43.0,3375.0
lizfortx8,No,37.0,33719.0
